,price,ranks,title,average_rating,no_of_reviews,author,cover_type,year,genre
476,17.95,77,Me Before You: A Novel (Movie Tie-In),4.6,1233,Jojo Moyes,Paperback,2016,Fiction
477,4.59,78,Chicka Chicka Boom Boom (Board Book),4.9,36149,Bill Martin Jr.,Board book,2016,Non Fiction
478,8.53,79,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,25645,Valorie Schaefer,Paperback,2016,Non Fiction
479,7.99,80,Potty (Leslie Patricelli board books),4.7,13551,Leslie Patricelli,Board book,2016,Fiction
480,9.4,1,Wonder,4.7,82591,R. J. Palacio,Hardcover,2017,Fiction
481,7.83,2,Milk and Honey,4.7,53564,Rupi Kaur,Paperback,2017,Non Fiction
482,5.94,3,Giraffes Can't Dance,4.8,28680,Giles Andreae,Board book,2017,Fiction
483,14.09,4,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,104033,Mark Manson,Hardcover,2017,Non Fiction
484,7.81,5,The Getaway,4.8,23494,Jeff Kinney,Hardcover,2017,Fiction
485,11.57,6,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,4.4,12801,Laurel Randolph,Paperback,2017,Non Fiction
486,14.63,7,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,4.4,43015,J. D. Vance,Hardcover,2017,Non Fiction
487,9.99,8,Astrophysics for People in a Hurry,4.7,22986,Neil deGrasse Tyson,Hardcover,2017,Non Fiction
488,4.78,9,First 100 Words: A Padded Board Book,4.7,36371,Roger Priddy,Board book,2017,Non Fiction
489,15.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,16309,Melissa Hartwig Urban,Hardcover,2017,Non Fiction
490,9.53,11,The Handmaid's Tale,4.3,150517,Margaret Atwood,Paperback,2017,Fiction
491,8.39,12,The 5 Love Languages: The Secret to Love that Lasts,4.8,88040,Gary Chapman,Paperback,2017,Non Fiction
492,8.89,13,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,44531,Jen Sincero,Paperback,2017,Non Fiction
493,14.72,14,What Happened,4.6,7791,Hillary Rodham Clinton,Hardcover,2017,Non Fiction
494,8.48,15,"Oh, the Places You'll Go!Â Â ",4.9,45619,Dr. Seuss,Hardcover,2017,Fiction
495,11.58,16,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,4.7,33217,Admiral William H. McRaven,Hardcover,2017,Non Fiction
496,7.48,17,1984,4.6,102879,George Orwell,Mass Market Paperback,2017,Fiction
497,10.3,18,How to Win Friends & Influence People (Dale Carnegie Books),4.7,104601,Dale Carnegie,Paperback,2017,Non Fiction
